"","DB","DBO","DBS","DC","DM","DO","DR","DS","DSB","DSO","EB","EBM","EBO","EBS","EC","EM","EO","EOB","ER","ES","ESB","ESO","IB","IBO","IBS","IC","IO","IOP","IR","IS","ISB","ISO"
"Bowles-1-20181230",0,0,0,0,0,0,0,0,0,0,0.130769230769231,0,0.00256410256410256,0,0.169230769230769,0,0,0,0.133333333333333,0.0205128205128205,0,0,0.215384615384615,0.0564102564102564,0,0.143589743589744,0.0256410256410256,0.0307692307692308,0.0230769230769231,0.0487179487179487,0,0
"Bowles-1-20190115",0,0,0,0.00256410256410256,0,0,0.0871794871794872,0,0,0,0.171794871794872,0,0.0128205128205128,0.00256410256410256,0.112820512820513,0,0,0,0.0153846153846154,0.0641025641025641,0.00769230769230769,0,0.130769230769231,0.205128205128205,0.00512820512820513,0.0487179487179487,0.0230769230769231,0,0.0435897435897436,0.0384615384615385,0.0282051282051282,0
"Bowles-1-20190125",0,0,0,0,0,0,0,0,0,0,0.205655526992288,0.0025706940874036,0.208226221079692,0,0.239074550128535,0.012853470437018,0.0025706940874036,0,0.149100257069409,0.0308483290488432,0.120822622107969,0.0077120822622108,0.0025706940874036,0.0179948586118252,0,0,0,0,0,0,0,0
"Bowles-2-20181230",0,0,0,0,0,0,0,0,0,0,0.146153846153846,0,0.00769230769230769,0,0.230769230769231,0.0230769230769231,0,0,0.0897435897435897,0.0897435897435897,0,0,0.138461538461538,0.0307692307692308,0,0.117948717948718,0.0333333333333333,0.0538461538461538,0.0153846153846154,0.0230769230769231,0,0
"Bowles-2-20190115",0,0,0,0.0102564102564103,0,0,0.0871794871794872,0,0,0,0.194871794871795,0,0.0153846153846154,0,0.141025641025641,0.0358974358974359,0.00512820512820513,0,0.0102564102564103,0.166666666666667,0.00256410256410256,0,0.0538461538461538,0.148717948717949,0,0.0307692307692308,0.0615384615384615,0,0.0205128205128205,0.00769230769230769,0.00512820512820513,0.00256410256410256
"Crescent-1-20190116",0,0,0,0,0,0,0,0,0,0,0.0692307692307692,0,0.00256410256410256,0,0.125641025641026,0,0,0,0.123076923076923,0,0,0,0.120512820512821,0.0871794871794872,0,0.125641025641026,0.0102564102564103,0,0.0230769230769231,0.0487179487179487,0.0307692307692308,0.233333333333333
"Crescent-2-20190105",0,0,0,0,0,0,0,0,0,0,0.264102564102564,0,0.00256410256410256,0,0.220512820512821,0,0.00256410256410256,0,0.151282051282051,0.156410256410256,0,0,0.0615384615384615,0.0102564102564103,0,0.00256410256410256,0.0384615384615385,0,0.00256410256410256,0.0871794871794872,0,0
"Crescent-2-20190116",0,0,0,0,0,0,0,0,0,0,0.212820512820513,0,0,0,0.238461538461538,0,0,0,0.141025641025641,0.0461538461538462,0.00512820512820513,0,0.0487179487179487,0.0487179487179487,0,0.0666666666666667,0,0,0.00512820512820513,0.0333333333333333,0.0282051282051282,0.125641025641026
"McKnight-2-20181231",0,0,0,0,0,0,0,0,0,0,0,0,0.0102564102564103,0,0.338461538461538,0.00256410256410256,0.0153846153846154,0,0.187179487179487,0.0641025641025641,0,0,0,0,0,0.176923076923077,0.125641025641026,0,0.0461538461538462,0.0333333333333333,0,0
"McKnight-2-20190112",0,0,0,0.0384615384615385,0,0,0.0923076923076923,0,0,0,0,0,0,0.00256410256410256,0.0307692307692308,0.00512820512820513,0,0,0.0538461538461538,0.125641025641026,0.00256410256410256,0.0307692307692308,0.0153846153846154,0.0128205128205128,0.00256410256410256,0.141025641025641,0.125641025641026,0,0.0615384615384615,0.0948717948717949,0,0.164102564102564
"Relict-1-20190102",0.356410256410256,0,0,0.343589743589744,0,0,0.197435897435897,0.102564102564103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Relict-1-20190112",0.343589743589744,0,0,0,0,0,0,0,0.00256410256410256,0.00256410256410256,0,0,0,0,0.282051282051282,0,0,0,0.217948717948718,0.148717948717949,0,0.00256410256410256,0,0,0,0,0,0,0,0,0,0
"Relict-3-20190102",0.0564102564102564,0,0,0,0.00769230769230769,0,0,0,0,0,0.0871794871794872,0,0,0,0.451282051282051,0,0.00256410256410256,0,0.143589743589744,0.161538461538462,0,0,0.0564102564102564,0,0,0.00769230769230769,0.00769230769230769,0,0,0.0179487179487179,0,0
"Relict-3-20190112",0.0794871794871795,0.00256410256410256,0.00256410256410256,0.174358974358974,0,0.0153846153846154,0.0743589743589744,0.102564102564103,0.0128205128205128,0.0128205128205128,0.0307692307692308,0,0.0205128205128205,0,0.161538461538462,0,0.00769230769230769,0.00256410256410256,0.105128205128205,0.130769230769231,0.0153846153846154,0.0487179487179487,0,0,0,0,0,0,0,0,0,0
"Relict-3-20190117",0.0256410256410256,0,0,0,0,0,0,0,0.00256410256410256,0,0.117948717948718,0,0.00256410256410256,0,0.235897435897436,0.0102564102564103,0,0,0.192307692307692,0.146153846153846,0.00512820512820513,0,0.0333333333333333,0.0512820512820513,0,0.0358974358974359,0.00256410256410256,0,0.0256410256410256,0.00512820512820513,0.00512820512820513,0.102564102564103
